trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 0.95}",20,0,-30.73385519,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
2,FALSE,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-22.28565311,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,FALSE,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-7.445082679,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
4,FALSE,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-38.17862789,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
5,FALSE,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-15.74276535,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
6,FALSE,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-35.76852114,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
7,FALSE,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-62.98447964,"{0: 17, 1: 18, 2: 0, 3: 0, 4: 0}",0
8,FALSE,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-55.71930496,"{0: 17, 1: 18, 2: 0, 3: 0, 4: 0}",0
9,FALSE,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-40.73411652,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
10,FALSE,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-40.84036523,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
11,FALSE,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-42.30631956,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
12,FALSE,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-23.99929101,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
13,FALSE,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-55.20644487,"{0: 19, 1: 16, 2: 0, 3: 0, 4: 0}",0
14,FALSE,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-13.17771911,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
15,FALSE,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-4.908497807,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
16,FALSE,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-18.89297709,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
17,FALSE,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-15.45750949,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
18,FALSE,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-42.71331026,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
19,FALSE,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-18.13270185,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
20,FALSE,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-31.21846145,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
1,TRUE,"{'a': 0.5, 'e': -0.05000000000000032}",30,0,-44.70179515,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
2,TRUE,"{'a': 0.5, 'e': -0.10000000000000032}",30,0,-58.60630746,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
3,TRUE,"{'a': 0.5, 'e': -0.15000000000000033}",25,0,-35.95052563,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
4,TRUE,"{'a': 0.5, 'e': -0.20000000000000034}",30,0,-20.50362885,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
5,TRUE,"{'a': 0.5, 'e': -0.25000000000000033}",25,0,-29.78631126,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
6,TRUE,"{'a': 0.5, 'e': -0.3000000000000003}",20,0,-39.88232495,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
7,TRUE,"{'a': 0.5, 'e': -0.3500000000000003}",30,0,-53.17336466,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
8,TRUE,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-27.72195013,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
9,TRUE,"{'a': 0.5, 'e': -0.4500000000000003}",25,0,-21.324394,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
10,TRUE,"{'a': 0.5, 'e': -0.5000000000000003}",25,0,-30.52311339,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
