trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",30,0,17.398272909517225,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.6}",20,0,31.641452660635608,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.36}",20,0,6.365742055638287,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.21599999999999997}",25,0,28.472140578050873,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.1296}",20,0,19.032074511368844,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.07775999999999998}",25,0,29.18364385108876,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.04665599999999999}",25,0,41.52435616662609,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.027993599999999993}",30,0,36.663033056878334,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.016796159999999994}",25,13,22.095068109545544,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.6, 'e': 0.010077695999999997}",20,11,18.920933250009732,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.6, 'e': 0.006046617599999998}",30,10,30.41675660039874,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.6, 'e': 0.0036279705599999985}",25,0,28.372990767967778,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.002176782335999999}",25,15,20.51702438569753,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.0013060694015999993}",25,0,34.93894404585366,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.0007836416409599996}",20,7,24.19778230856303,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.00047018498457599973}",30,3,36.893554958566035,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.00028211099074559984}",30,0,18.993787548041077,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.00016926659444735988}",25,4,32.67832981258013,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.6, 'e': 0.00010155995666841593}",25,17,15.612941932262755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.6, 'e': 6.093597400104956e-05}",30,0,48.15893244833562,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.6, 'e': 3.6561584400629733e-05}",20,0,28.07973461203937,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.6, 'e': 2.193695064037784e-05}",35,15,41.95570637689025,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.6, 'e': 1.3162170384226703e-05}",25,3,32.612686720158536,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.6, 'e': 7.89730223053602e-06}",20,13,12.562342799211827,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.6, 'e': 4.7383813383216126e-06}",20,0,25.451587092173877,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.6, 'e': 2.8430288029929676e-06}",25,3,37.80411450173992,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.6, 'e': 1.7058172817957804e-06}",30,14,21.192207167358358,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.6, 'e': 1.0234903690774683e-06}",25,0,38.74975610981657,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.6, 'e': 6.140942214464809e-07}",25,0,39.57269481545394,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.6, 'e': 3.6845653286788856e-07}",30,8,34.45321021835,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.6, 'e': 2.2107391972073312e-07}",35,15,36.68423485076257,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.6, 'e': 1.3264435183243988e-07}",25,9,30.16143960765903,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.6, 'e': 7.958661109946392e-08}",20,3,30.76001258485815,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.6, 'e': 4.7751966659678344e-08}",20,8,23.087371284431864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.6, 'e': 2.8651179995807006e-08}",20,4,29.86335713067611,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.6, 'e': 1.7190707997484204e-08}",25,5,36.413316748157015,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
