trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",25,0,17.436915436423625,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.7}",20,3,16.457844724619434,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.7, 'e': 0.48999999999999994}",20,0,10.526707317669853,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.3429999999999999}",25,0,30.196453435347834,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.24009999999999995}",30,7,33.2590911349045,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.7, 'e': 0.16806999999999994}",20,3,28.87578944657232,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.11764899999999996}",20,0,24.060321538896677,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.08235429999999996}",20,6,1.2033207941960247,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.7, 'e': 0.05764800999999997}",20,9,18.50115168358564,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.04035360699999998}",20,13,11.021143634183755,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.02824752489999998}",25,0,28.202209615078544,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.019773267429999988}",20,0,23.028166560548872,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.01384128720099999}",35,0,56.75559050745516,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.009688901040699992}",20,0,29.440812665678784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.006782230728489994}",30,0,43.420091578707144,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.004747561509942996}",20,8,21.39757625077522,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.0033232930569600965}",20,7,24.227051411728738,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.0023263051398720674}",25,14,17.54443211665526,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.001628413597910447}",35,8,29.79957241539675,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.001139889518537313}",20,5,22.73971231453447,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.7, 'e': 0.0007979226629761189}",25,1,39.49968668599492,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.7, 'e': 0.0005585458640832833}",20,7,19.08852757528853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.7, 'e': 0.00039098210485829826}",20,0,31.77070160435951,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.7, 'e': 0.0002736874734008088}",20,9,17.30215888145956,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.7, 'e': 0.00019158123138056612}",20,1,30.64851126033516,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.7, 'e': 0.00013410686196639628}",20,13,11.28360199014704,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.7, 'e': 9.387480337647739e-05}",20,0,29.66477419234178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.7, 'e': 6.571236236353417e-05}",35,5,50.15951862777848,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.7, 'e': 4.5998653654473914e-05}",25,14,21.25114077316466,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.7, 'e': 3.219905755813174e-05}",25,12,21.377927902279033,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.7, 'e': 2.2539340290692216e-05}",25,19,13.750532289681056,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.7, 'e': 1.577753820348455e-05}",25,19,11.024212459340252,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.7, 'e': 1.1044276742439184e-05}",25,14,17.484126405770557,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.7, 'e': 7.73099371970743e-06}",25,11,24.75381924648752,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.7, 'e': 5.411695603795199e-06}",30,10,35.19530252763589,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
