trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.89750794879475,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,6,-177.54250926052293,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 3}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.50931429264746,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.32446245860937,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.95168713128695,"{0: 12, 1: 4, 2: 10, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.04383780442069,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,9.155681438603757,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,11,-17.116636524317652,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.24312814915949,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.09055779105034,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.07225732396418,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
